dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
lucknow_lcs,Lucknow,49,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,49,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,49,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,50,normal,standard,365,7,0.019178082191780823
lucknow_lcs,Lucknow,50,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,50,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,50,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,51,normal,standard,365,7,0.019178082191780823
lucknow_lcs,Lucknow,51,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,51,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,51,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,52,normal,standard,365,7,0.019178082191780823
lucknow_lcs,Lucknow,52,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,52,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,52,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,53,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,53,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,53,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,53,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,54,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,54,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,54,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,54,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,55,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,55,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,55,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,55,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,56,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,56,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,56,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,56,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,57,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,57,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,57,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,57,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,58,normal,standard,365,6,0.01643835616438356
lucknow_lcs,Lucknow,58,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,58,lognormal,standard,365,0,0.0
