sample_size,canonical_reference_mean_ugm3,madhwal_reference_mean_ugm3,madhwal_minus_canonical_reference_mean_ugm3,canonical_ape_median_pct,madhwal_ape_median_pct,madhwal_minus_canonical_ape_median_pct,canonical_ape_p95_pct,madhwal_ape_p95_pct,madhwal_minus_canonical_ape_p95_pct,canonical_absolute_error_median_ugm3,madhwal_absolute_error_median_ugm3,madhwal_minus_canonical_absolute_error_median_ugm3,canonical_absolute_error_p95_ugm3,madhwal_absolute_error_p95_ugm3,madhwal_minus_canonical_absolute_error_p95_ugm3,canonical_n_sensors_available,madhwal_n_sensors_available
56,61.802242631595966,51.46794024618637,-10.334302385409593,1.1392069281890245,0.5246573428080681,-0.6145495853809564,3.296345032007925,1.4845692241590391,-1.8117758078488857,0.7040554298353321,0.2700303276936857,-0.4340251021416464,2.037215154656098,0.7640772012034468,-1.2731379534526512,71,71
57,61.802242631595966,51.46794024618637,-10.334302385409593,1.090716318348898,0.5033532619707283,-0.5873630563781697,3.1733855020995523,1.4208142819464151,-1.7525712201531372,0.6740871454883965,0.2590655560983244,-0.41502158939007217,1.9612234076434556,0.7312638456414631,-1.2299595620019925,71,71
58,61.802242631595966,51.46794024618637,-10.334302385409593,1.039680909130742,0.4795017131305554,-0.5601791960001865,3.0593592705544004,1.3518767236245008,-1.7074825469298995,0.642546118055364,0.2467896551934743,-0.3957564628618897,1.890752639360255,0.6957831043171602,-1.1949695350430947,71,71
59,61.802242631595966,51.46794024618637,-10.334302385409593,0.9925582338835875,0.4500071769896798,-0.5425510568939078,2.8988320036506647,1.2905404809776937,-1.608291522672971,0.6134232479646187,0.2316094249565985,-0.38181382300802014,1.7915431883785389,0.6642146036024457,-1.1273285847760932,71,71
60,61.802242631595966,51.46794024618637,-10.334302385409593,0.9620078223752556,0.4299068679199168,-0.5321009544553388,2.751026868554403,1.20707671427333,-1.543950154281073,0.5945424085192883,0.2212642098952741,-0.37327819862401423,1.7001963001643887,0.6212575220278271,-1.0789387781365616,71,71
61,61.802242631595966,51.46794024618637,-10.334302385409593,0.9118741107544764,0.4016762903342337,-0.5101978204202428,2.6158924147163307,1.1447075224662575,-1.4711848922500732,0.5635586504231895,0.2067345130923215,-0.35682413733086804,1.6166801771245014,0.5891573836565338,-1.0275227934679676,71,71
62,61.802242631595966,51.46794024618637,-10.334302385409593,0.8491781267669376,0.3794448414685692,-0.4697332852983684,2.4337223608767076,1.0849767603768037,-1.3487456004999039,0.5248111262789443,0.1952924442742798,-0.3295186820046645,1.5040949984484284,0.558415190715742,-0.9456798077326865,71,71
63,61.802242631595966,51.46794024618637,-10.334302385409593,0.7915003533281364,0.3509023038458483,-0.4405980494822881,2.250245991563301,1.0143004299716765,-1.2359455615916244,0.4891649687937942,0.1806021880658725,-0.30856278072792165,1.3907024875137135,0.522039539214634,-0.8686629482990795,71,71
64,61.802242631595966,51.46794024618637,-10.334302385409593,0.7418563529691999,0.3236535717526652,-0.41820278121653476,2.106433996496526,0.9351912864894106,-1.1712427100071157,0.4584838632399339,0.1665778269143096,-0.2919060363256243,1.301823449389207,0.4813236925179115,-0.8204997568712954,71,71
65,61.802242631595966,51.46794024618637,-10.334302385409593,0.6821134052643686,0.3080610902576034,-0.37405231500676517,1.948938528387691,0.8604006116217284,-1.0885379167659626,0.4215613817441266,0.1585526978555336,-0.263008683888593,1.2044877180548166,0.4428304726672933,-0.7616572453875232,71,71
66,61.802242631595966,51.46794024618637,-10.334302385409593,0.6182332604472243,0.2753639258588973,-0.34286933458832697,1.7915708800147334,0.772450642174267,-1.0191202378404665,0.3820820196508201,0.1417241408206102,-0.24035787883020993,1.1072309821837247,0.3975644349455346,-0.7096665472381901,71,71
67,61.802242631595966,51.46794024618637,-10.334302385409593,0.5468164826431252,0.2476507337873725,-0.2991657488557527,1.5587969955204777,0.689877514736684,-0.8689194807837937,0.3379448493526631,0.127460731684927,-0.21048411766773611,0.9633715013055936,0.3550657470565521,-0.6083057542490415,71,71
68,61.802242631595966,51.46794024618637,-10.334302385409593,0.4538992638055175,0.2090172702820141,-0.24488199352350337,1.368735133899309,0.584206000694566,-0.784529133204743,0.2805199243201137,0.1075768837729569,-0.17294304054715678,0.845909008436351,0.3006787953521144,-0.5452302130842366,71,71
69,61.802242631595966,51.46794024618637,-10.334302385409593,0.3632299064114113,0.1682673548237921,-0.1949625515876192,1.1022972007368728,0.4819549551015836,-0.6203422456352892,0.2244842280708994,0.0866037416345477,-0.1378804864363517,0.6812443905206924,0.2480522883052174,-0.433192102215475,71,71
70,61.802242631595966,51.46794024618637,-10.334302385409593,0.2542522389501946,0.1159037708240205,-0.13834846812617413,0.8560230283336995,0.3435732537849364,-0.5124497745487631,0.1571335856122644,0.0596532835107836,-0.0974803021014808,0.5290414289531284,0.1768300769599093,-0.3522113519932192,71,71
