network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
dhaka_lcs,S3_annual_75pct,15,2.676132708034647,1.0,345,967242606
dhaka_lcs,S3_annual_75pct,20,1.959137456987048,1.0,345,967242606
dhaka_lcs,S3_annual_75pct,30,0.3282092369648531,1.0,185,967242606
dhaka_lcs,S4_daily_18h_annual_75pct,1,9.84627710894531,0.07397260273972603,365,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,2,7.509992109761006,0.21095890410958903,365,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,3,7.041480935436439,0.4136986301369863,365,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,5,5.628955064418081,0.7561643835616438,365,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,7,4.768993225857702,0.9178082191780822,365,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,10,3.810291037441173,0.9835164835164835,364,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,15,2.729372525465794,1.0,342,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,20,1.9243201527874967,1.0,342,1257636804
dhaka_lcs,S4_daily_18h_annual_75pct,30,0.3282092369648531,1.0,99,1257636804
dhaka_lcs,S5_drop_gap_gt_30d,1,9.969009347266365,0.043835616438356165,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,2,9.107716122153542,0.09041095890410959,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,3,7.887066109381095,0.24383561643835616,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,5,6.252878861310133,0.6438356164383562,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,7,5.100829815940652,0.8712328767123287,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,10,4.020843863234322,0.9643835616438357,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,15,2.7920320390670197,0.9917808219178083,365,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,20,1.9986751272078456,0.9971014492753624,345,3969256002
dhaka_lcs,S5_drop_gap_gt_30d,30,0.0,1.0,48,3969256002
lucknow_lcs,S0_baseline,1,17.797656726511924,0.10410958904109589,365,4195012168
lucknow_lcs,S0_baseline,2,12.538121269506778,0.4958904109589041,365,4195012168
lucknow_lcs,S0_baseline,3,10.268427775776107,0.7643835616438356,365,4195012168
lucknow_lcs,S0_baseline,5,8.149545622561021,0.9287671232876712,365,4195012168
lucknow_lcs,S0_baseline,7,6.761356179064334,0.9643835616438357,365,4195012168
lucknow_lcs,S0_baseline,10,5.561629264584544,0.9726027397260274,365,4195012168
