run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,19,20,20,0,1.4812499368825827,3.124815109725179,1.6585587800054682,0.14683136328689184,0.330126272008886,0.18475877563174592,0.647007807974795,1.925788447514725,0.21369228844194543
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,20,20,20,0,1.4186727352594308,3.141139634305519,1.7224022904423792,0.14077788848215356,0.3318509034679611,0.19110805044930768,0.647007807974795,1.9947724584781432,0.22041981377298128
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,21,20,20,0,1.3553983292583802,3.1531010191531577,1.8031583019383453,0.13449881779156359,0.33311458379756687,0.19934386419698802,0.647007807974795,2.1124277399261953,0.2321589414188276
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,22,20,20,0,1.3088132332337865,3.167465907043298,1.861687417566683,0.12979806353741052,0.33463218619018154,0.2051419715645708,0.647007807974795,2.1441046967992166,0.2354429724428307
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,23,20,20,0,1.259702068641037,3.174595658514547,1.9116815844382082,0.12485792733564693,0.33538542060274823,0.21014292660741818,0.647007807974795,2.189919803107037,0.2400365963589568
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,24,20,20,0,1.205706787178952,3.1834479598138072,1.9905537238227833,0.11948525072619676,0.33632063664722045,0.21805534352776057,0.647007807974795,2.2813709143520504,0.2492786988760395
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,25,20,20,0,1.159682165028291,3.19025383483088,2.025487481623819,0.11499057501136356,0.337039654594923,0.22153218046564627,0.647007807974795,2.3403588414284564,0.25524008749354515
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,26,20,20,0,1.1164977970755732,3.209685268616483,2.087679251672122,0.11053952243161236,0.339092520627049,0.227828205781325,0.647007807974795,2.391158132093009,0.26019132437496073
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,27,20,20,0,1.0742474434710956,3.2188218944997247,2.1539045999587376,0.10653315806976016,0.34005777461349673,0.23444291985245158,0.647007807974795,2.4113319107260613,0.2621787839710124
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,28,20,20,0,1.0251133384849291,3.227412670641752,2.2026193123467097,0.10165822351693743,0.34096536139922495,0.23932427694753278,0.647007807974795,2.4996033728336755,0.270980069745715
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,29,20,20,0,0.9825256702620594,3.2363243915303137,2.2552111158612087,0.09744557317555902,0.34190685492470374,0.24461049651712452,0.647007807974795,2.5300714221279477,0.27398433728441873
chicago_phase4_strategy_n50,Chicago,anti_cluster,Anti-cluster,period,30,20,20,0,0.9507875521354786,3.2258262321864146,2.2753491729690305,0.09428131337721002,0.3407977594789058,0.2465307168380817,0.647007807974795,2.5992463840497506,0.28086904591112444
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,daily,5,4820,20,241,3.6330205222599803,4.238351839156433,0.2332803947538744,0.33720000000000105,0.3889999999999997,0.02783431802088865,0.20402204025465487,3.1817652346962175,0.23119926832785725
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,daily,10,4820,20,241,2.550788978508914,3.376248079220405,0.4646648711310981,0.24020000000000064,0.3164823137744488,0.04831853901872418,0.20402204025465487,3.9201902979261516,0.3162676791956319
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,daily,20,4820,20,241,1.6323989887945665,2.8098686440556397,0.8908184607896307,0.15195918367346906,0.26167170479302726,0.08827528442010113,0.20402204025465487,4.717229089814756,0.44758392348392206
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,2,20,20,0,4.093293232349981,4.058369331629111,-0.02772341163025538,0.4124888665943889,0.42875315525587787,0.017514744478254407,0.5187732977888322,0.3658736346251783,0.060050159455458045
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,3,20,20,0,3.47114467241565,3.500599551830251,0.0354103181876515,0.349366357283881,0.36982664230119333,0.020266915253054574,0.5187732977888322,0.45135888271132263,0.06766316731853969
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,4,20,20,0,3.1336063930048916,3.217503886763944,0.0906661417636947,0.312648783341845,0.3399185315015001,0.02129087915263872,0.5187732977888322,0.36013443713467885,0.0564912048650614
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,5,20,20,0,2.906639767001524,2.8965063868774346,0.09908166900547,0.2900082578652414,0.30600621853555765,0.023208533190844705,0.5187732977888322,0.3225216941252177,0.05149764319082876
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,6,20,20,0,2.7071498516194,2.7963746394911,0.1322698749158675,0.27010687591711946,0.29542763410299155,0.026532188577548688,0.5187732977888322,0.3785193114472914,0.05807250669593412
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,7,20,20,0,2.4993587660599372,2.6518634196860873,0.166974417618583,0.25107888527592737,0.2801605067426527,0.030911975809494674,0.5187732977888322,0.5246221927135231,0.07227696151993387
