target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
70,circumferential,Circumferential,29,1.1320969292966816,0.8209243271967579,0.9056566804377253,1.4769916629782043,1.5371893099632288,1.194889343506273,0.28749112228827894,20
70,circumferential,Circumferential,30,1.1112410000446404,0.7983344276301368,0.8696190808824675,1.4502880956671822,1.5190697786958685,1.167199992192259,0.28693560502854276,20
70,cluster_concentrated,Cluster-concentrated,2,3.734734831112678,3.38674061704386,3.5931546708971442,3.9238811770011894,4.164134108417824,3.7565991798427794,0.2963296040403994,20
70,cluster_concentrated,Cluster-concentrated,3,3.202127735571113,2.7416684383660606,2.996422907957755,3.3178962871870272,3.472535318464153,3.1609560900722338,0.24802101741972166,20
70,cluster_concentrated,Cluster-concentrated,4,2.7850554246562833,2.458374593796979,2.6208365784726815,2.9573659317504006,3.115560393747979,2.7925547666210844,0.21824633765140444,20
70,cluster_concentrated,Cluster-concentrated,5,2.549781901086776,2.1521278155899757,2.358543278783203,2.6529538673101922,2.8246256299079424,2.5229156309727307,0.2352157536638756,20
70,cluster_concentrated,Cluster-concentrated,6,2.330900698171674,2.0099165498672544,2.174865901505742,2.460423954194877,2.5644430123656132,2.3099665202836444,0.20027763814978566,20
70,cluster_concentrated,Cluster-concentrated,7,2.1208131017510485,1.8707951609380538,1.9847302804218738,2.2849611893319346,2.4074640549157356,2.1460608128405783,0.20186712417069602,20
70,cluster_concentrated,Cluster-concentrated,8,2.0112184892498832,1.7352799145327147,1.8962022268147094,2.145477164803596,2.3455596603409687,2.029037390032197,0.20827408987993645,20
70,cluster_concentrated,Cluster-concentrated,9,1.9043469699266573,1.6517853054953484,1.7414880480063466,1.9994735713823033,2.2579818586623754,1.9113770570121074,0.20942235583676913,20
70,cluster_concentrated,Cluster-concentrated,10,1.7801430998979646,1.5377057681290598,1.6315033753834496,1.9369670892033803,2.210365255254719,1.8133991842433779,0.2297017766910817,20
70,cluster_concentrated,Cluster-concentrated,11,1.7097920966044629,1.4639032609780276,1.5684987901637844,1.8332850550225581,2.1625899533213975,1.734184696083797,0.23400698566365205,20
70,cluster_concentrated,Cluster-concentrated,12,1.6201062888588948,1.411529451166524,1.4650754453624584,1.7394434825575797,2.1411401186720327,1.6655072616415587,0.24142780940020075,20
70,cluster_concentrated,Cluster-concentrated,13,1.5643363150884042,1.3319820345672109,1.3918615723592804,1.691699537538066,2.050598716782298,1.592771083439406,0.24471514196127514,20
70,cluster_concentrated,Cluster-concentrated,14,1.486963056881771,1.2744736725954848,1.3422486883582652,1.5890954679463705,2.049073067648632,1.5376633827867872,0.26171085623325535,20
70,cluster_concentrated,Cluster-concentrated,15,1.4244689968774065,1.2217001514552899,1.277806309021035,1.5276653618523357,1.9937283698553985,1.4818083163023412,0.2668043323363788,20
70,cluster_concentrated,Cluster-concentrated,16,1.3523871005564623,1.1871827715302767,1.2481439553664062,1.459688264783333,1.9489066882043253,1.4324076943063964,0.2644286018795251,20
70,cluster_concentrated,Cluster-concentrated,17,1.3021910824532423,1.1319857047283968,1.1866527839526457,1.4175143302193354,1.935094143032014,1.3825672598887597,0.2763332986440485,20
70,cluster_concentrated,Cluster-concentrated,18,1.246811634473072,1.0950631494855876,1.1386236629958941,1.355540594623606,1.900671391977416,1.3426168992677272,0.2826523903253332,20
70,cluster_concentrated,Cluster-concentrated,19,1.2069433970901264,1.0246778349784624,1.1008970135873324,1.3106931387043939,1.8450540696617859,1.2971715274903644,0.28133754454173365,20
70,cluster_concentrated,Cluster-concentrated,20,1.1707408498364609,1.0144215289953677,1.0590476141974428,1.276750896371797,1.8175006545124865,1.265504317534401,0.2858462645075879,20
70,cluster_concentrated,Cluster-concentrated,21,1.1341220452701877,0.9787641737283583,1.0287554305023578,1.2229056570189198,1.77537638449432,1.222468622329595,0.28058229537578333,20
70,cluster_concentrated,Cluster-concentrated,22,1.1016329076920361,0.9604061727708104,0.9903607660472551,1.1808358271600823,1.7350822247838857,1.1893942579600927,0.28088314707973777,20
70,cluster_concentrated,Cluster-concentrated,23,1.061864479248669,0.9239845214380508,0.9669486126180858,1.1415302327778578,1.6940674346498676,1.1529533059161978,0.2739272097699959,20
70,cluster_concentrated,Cluster-concentrated,24,1.0363687827636854,0.8852060581949313,0.9232132843576567,1.0974796051135227,1.663520250906045,1.1187815199810167,0.27382611269945584,20
70,cluster_concentrated,Cluster-concentrated,25,1.0007277570660231,0.8714588680270944,0.905591335347126,1.0730307706767883,1.6448300347403715,1.0923318408640905,0.27372915041386725,20
70,cluster_concentrated,Cluster-concentrated,26,0.9637918735234616,0.8400289095630185,0.8767928762219523,1.0396748737695332,1.6052175229939727,1.0577690257948873,0.2730591437568918,20
