target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-04-15,0.11376700680272211,0.005210018073651668,0.0451645572897037,0.16079495694956902,0.23544106115398988,0.11449860085620146,0.07979201767238156,50,1.4708607298060552,0.06735881694947318,3.043949390668012
50,kmeans_stratified,k-means stratified,2026-04-16,0.03943452380952417,0.00517715158018861,0.020669289856163786,0.06990256388533367,0.1101265223284876,0.04901630172393974,0.03668490913589601,50,0.6254978550079044,0.08211832921072704,1.7467918169538632
50,kmeans_stratified,k-means stratified,2026-04-17,0.2609453720787194,0.036218522479103225,0.12367240003012636,0.39026898062730764,0.7046174554120533,0.2906479981424303,0.20283041692000892,50,2.2406196202063606,0.3109920342142826,6.050230677629558
50,kmeans_stratified,k-means stratified,2026-04-18,0.05642083333333314,0.01026364323507072,0.02860139833711206,0.11055787037037268,0.18170383975812565,0.07688166562937214,0.06471385859659277,50,0.8751888705683609,0.1592076153457175,2.818554227236079
50,kmeans_stratified,k-means stratified,2026-04-19,0.08970657262905224,0.01380555522208944,0.046698529411765444,0.13390759303721445,0.23335723039215608,0.10177615546218491,0.07599854596194298,50,1.4212183798877134,0.21872097273543567,3.697071186572295
50,kmeans_stratified,k-means stratified,2026-04-20,0.0989795918367351,0.013415432172869314,0.05494705882352924,0.20124203431372667,0.29779357843137316,0.1285468715486187,0.10148848426892836,50,1.235847753899174,0.1675035369490582,3.7182162322619416
50,kmeans_stratified,k-means stratified,2026-04-21,0.0678374999999991,0.010461911764706677,0.031536089435773684,0.11788200780312041,0.21566482843137402,0.08225398139255702,0.06583046094608322,50,0.862624647620639,0.13303413229361982,2.742403488185473
50,kmeans_stratified,k-means stratified,2026-04-22,0.09858163265306175,0.02731208733493542,0.04771176470588445,0.17787094837935502,0.2740237214885949,0.11785879125692869,0.08075454100684364,50,0.8556996451886901,0.23707198605764723,2.378556683842794
50,kmeans_stratified,k-means stratified,2026-04-23,0.17436590636254046,0.016710552220888,0.0784948529411773,0.24446470588235458,0.3707034813925618,0.17177363905562237,0.1141037889898583,50,1.1273586278598087,0.10804167864875197,2.396774557846445
50,kmeans_stratified,k-means stratified,2026-04-24,0.06985680661327809,0.008618042742928368,0.03371795692446877,0.17355915590405768,0.30438791042246943,0.10607558214351126,0.09442526816481056,50,0.7642482980985168,0.09428321760662013,3.3300683752972913
50,kmeans_stratified,k-means stratified,2026-04-25,0.07287226001511682,0.0034097127739988412,0.026898148148146506,0.10379759653270115,0.1978664795114264,0.07880240887891811,0.06479060873283635,50,1.1407415470826496,0.053375605808191506,3.09739966767655
